miRNA	logFC	AveExpr	t	P.Value	adj.P.Val	B	experiment
hsa-miR-149	-0.364838063355026	6.96591035909039	-2.72641004929132	0.00722345938094378	0.0423558269295053	-3.06266467448723	GSE21036
hsa-miR-7	0.64347817386603	6.96419979109007	4.03661955469296	8.89673672861094e-05	0.00131265887522137	0.978035123480987	GSE21036
hsa-miR-193b	-0.371192408766324	6.9315118635922	-3.91451165720529	0.000141028960058022	0.00193050425894277	0.546851936125087	GSE21036
hsa-miR-153	1.18036583946115	6.79275714824547	6.95903984308552	1.21928867682567e-10	1.13149989209422e-08	13.8894296746438	GSE21036
hsa-miR-224	-0.716593355335688	6.72905798072143	-5.05909261206536	1.3027394604838e-06	3.54134589500403e-05	4.97497593265257	GSE21036
hsa-miR-455-5p	-0.320506721283813	6.58854092453072	-3.10792368462176	0.00228313736516363	0.0178719583395241	-2.02480347811399	GSE21036
hsa-miR-28-3p	-0.387122232613865	6.48943238775156	-3.55725017171093	0.000512286041242349	0.00543208902360681	-0.652962315210353	GSE21036
hsa-miR-1229	-0.444119393852506	6.38898829008181	-3.10654186274989	0.00229313370210353	0.0179189355955314	-2.0287771606014	GSE21036
hsa-miR-452	-0.316109408794024	6.34092023107374	-3.83516539856378	0.000189234670923936	0.00240028616427233	0.272341526324909	GSE21036
hsa-miR-221-star	-0.283324163209731	6.32917720670073	-2.75465094556661	0.00665826402720663	0.0398548046041337	-2.98997546194124	GSE21036
hsa-miR-7-1-star	0.387111644748985	6.30819384160572	3.80622833973142	0.000210430930537694	0.0026145508784074	0.17335604218595	GSE21036
hsa-miR-148a-star	0.550606577141011	6.29522420304369	6.51401713604574	1.22803997975882e-09	8.34571008466396e-08	11.6602573137577	GSE21036
hsa-miR-193a-5p	-0.177120201129513	6.23964075260696	-2.70145732898782	0.00775869029092193	0.0446348595787283	-3.12633098752263	GSE21036
hsa-miR-378-star	-0.262818569791923	6.22296708582734	-3.2810594103201	0.00130608561931308	0.0115471012440715	-1.51487227110173	GSE21036
hsa-miR-34a-star	-0.208755419821459	6.15623453030794	-2.70031175382693	0.00778410373726147	0.0447428021736823	-3.12924126855987	GSE21036
hsa-miR-665	0.247501405839733	6.09872557244349	2.79732710696238	0.00588013478445463	0.0362617294498724	-2.87886049629974	GSE21036
