ID	Target
hsa-miR-106a-5p	MID1
hsa-miR-29a-3p	BLMH
hsa-miR-107	BLMH
hsa-miR-26a-5p	SLC25A20
hsa-miR-221-3p	CASR
hsa-miR-222-3p	CASR
hsa-miR-30e-3p	CASR
hsa-miR-30a-3p	CASR
hsa-miR-939-5p	CDKN1A
hsa-miR-106a-5p	CDKN1A
hsa-miR-193b-3p	TPP1
hsa-miR-1224-5p	TPP1
hsa-miR-29a-3p	COL5A2
hsa-miR-335-5p	COL5A2
hsa-miR-106a-5p	CTSK
hsa-miR-106a-5p	CYBB
hsa-miR-106a-5p	EGR2
hsa-miR-32-5p	EGR2
hsa-miR-1976	ERCC2
hsa-miR-367-5p	EXT2
hsa-miR-30c-5p	GM2A
hsa-miR-580-3p	GM2A
hsa-miR-30a-3p	GM2A
hsa-miR-30e-3p	GM2A
hsa-miR-486-3p	GM2A
hsa-miR-140-3p	GNRHR
hsa-miR-23b-3p	GNRHR
hsa-miR-221-3p	GPD2
hsa-miR-27b-3p	GPD2
hsa-miR-222-3p	GPD2
hsa-miR-518c-5p	GPD2
hsa-miR-580-3p	HLCS
hsa-miR-23b-3p	HRG
hsa-miR-125b-2-3p	IL4R
hsa-miR-106a-5p	KRT10
hsa-miR-486-3p	KRT17
hsa-miR-29a-3p	LAMA2
hsa-miR-580-3p	LTBP2
hsa-miR-671-5p	MAT1A
hsa-miR-486-3p	MAT1A
hsa-miR-125b-5p	MAT1A
hsa-miR-106a-5p	PAFAH1B1
hsa-miR-505-3p	PAFAH1B1
hsa-miR-99a-3p	PAFAH1B1
hsa-miR-125b-5p	PAFAH1B1
hsa-miR-10b-5p	PAFAH1B1
hsa-miR-106a-5p	MVK
hsa-miR-125b-5p	NEU1
hsa-miR-580-3p	OXCT1
hsa-miR-23b-3p	OXCT1
hsa-miR-125b-2-3p	PAFAH2
hsa-miR-580-3p	PCSK1
hsa-miR-580-3p	PDE6A
hsa-miR-26a-5p	SLC26A4
hsa-miR-26a-5p	PECAM1
hsa-miR-26a-5p	PON1
hsa-miR-671-5p	RAG1
hsa-miR-125b-5p	RFX5
hsa-miR-3074-3p	SHOX
hsa-miR-32-5p	SHOX
hsa-miR-125b-2-3p	SLC10A2
hsa-miR-3074-3p	SLC10A2
hsa-miR-106a-5p	STK11
hsa-miR-32-5p	HNF1B
hsa-miR-30e-3p	HNF1B
hsa-miR-26a-5p	HNF1B
hsa-miR-30a-3p	HNF1B
hsa-miR-3074-3p	TEK
hsa-miR-30a-3p	THPO
hsa-miR-30e-3p	THPO
hsa-miR-580-3p	THRB
hsa-miR-27b-3p	THRB
hsa-miR-1224-5p	THRB
hsa-miR-26a-5p	UBE3A
hsa-miR-335-5p	BARD1
hsa-miR-26a-5p	BARD1
hsa-miR-580-3p	TWIST1
hsa-miR-518c-5p	TWIST1
hsa-miR-32-5p	TWIST1
hsa-miR-29a-3p	AK1
hsa-miR-30e-3p	ALB
hsa-miR-30a-3p	ALB
hsa-miR-27b-3p	AMPD3
hsa-miR-106a-5p	AMPD3
hsa-miR-106a-5p	APP
hsa-miR-1224-5p	AQP2
hsa-miR-324-3p	AQP2
hsa-miR-939-5p	AQP2
hsa-miR-193b-3p	AQP2
hsa-miR-32-5p	ATRX
hsa-miR-384	CFTR
hsa-miR-671-5p	CFTR
hsa-miR-505-3p	CFTR
hsa-miR-384	COL10A1
hsa-miR-26a-5p	COL10A1
hsa-miR-23b-3p	COL4A5
hsa-miR-29a-3p	COL4A5
hsa-miR-671-5p	CYP11B2
hsa-miR-518c-5p	CYP1A1
hsa-miR-939-5p	ELN
hsa-miR-29a-3p	ELN
