circrna	avg_circ_lfc	mirna	avg_mirna_lfc
hsa_circ_0007312	-0.751681846499999	hsa-miR-1976	1.72643047190907
hsa_circ_0007586	1.84669427476666	hsa-miR-939-5p	2.10701997701662
hsa_circ_0008068	1.68977009436666	hsa-miR-367-5p	1.29653612938548
hsa_circ_0008068	1.68977009436666	hsa-miR-106a-5p	1.62557079915522
hsa_circ_0008068	1.68977009436666	hsa-miR-1976	1.72643047190907
hsa_circ_0008068	1.68977009436666	hsa-miR-29a-3p	-0.822880449721378
hsa_circ_0008068	1.68977009436666	hsa-miR-193a-5p	-1.08116083098548
hsa_circ_0008122	-0.5735476995	hsa-miR-3074-3p	2.01517762975273
hsa_circ_0008323	0.830282201200001	hsa-miR-193b-3p	-2.0120628061498
hsa_circ_0008323	0.830282201200001	hsa-miR-580-3p	1.55472370270128
hsa_circ_0008323	0.830282201200001	hsa-miR-107	-1.99125363163233
hsa_circ_0008323	0.830282201200001	hsa-miR-939-5p	2.10701997701662
hsa_circ_0008323	0.830282201200001	hsa-let-7e-5p	-2.32886989422945
hsa_circ_0008323	0.830282201200001	hsa-miR-99b-5p	-0.886705921774168
hsa_circ_0008323	0.830282201200001	hsa-miR-26a-5p	-1.49048510539919
hsa_circ_0008323	0.830282201200001	hsa-let-7c-5p	-4.12964098042423
hsa_circ_0008323	0.830282201200001	hsa-miR-106a-5p	1.62557079915522
hsa_circ_0008323	0.830282201200001	hsa-miR-99a-5p	-1.87492314647069
hsa_circ_0008323	0.830282201200001	hsa-miR-671-5p	0.981545332257005
hsa_circ_0008584	1.38442489466666	hsa-miR-27b-3p	-1.17329792567971
hsa_circ_0008584	1.38442489466666	hsa-miR-23b-3p	-1.02880798185747
hsa_circ_0008615	0.687278457999999	hsa-miR-1976	1.72643047190907
hsa_circ_0008615	0.687278457999999	hsa-miR-518c-5p	1.60200363821778
hsa_circ_0008616	0.563411618333329	hsa-miR-518c-5p	1.60200363821778
hsa_circ_0008817	-0.853316574833334	hsa-miR-335-5p	1.09850437185731
hsa_circ_0008926	0.810202277900001	hsa-miR-671-5p	0.981545332257005
hsa_circ_0008926	0.810202277900001	hsa-miR-92b-5p	2.59087560756811
hsa_circ_0008926	0.810202277900001	hsa-miR-361-3p	-1.5439614259172
hsa_circ_0009006	1.08999820233333	hsa-miR-580-3p	1.55472370270128
hsa_circ_0009006	1.08999820233333	hsa-let-7e-5p	-2.32886989422945
hsa_circ_0009006	1.08999820233333	hsa-let-7c-5p	-4.12964098042423
hsa_circ_0009043	0.963926009666668	hsa-miR-30a-3p	-2.05747668915641
hsa_circ_0009043	0.963926009666668	hsa-miR-30e-3p	-3.59328847644226
hsa_circ_0009172	1.22714393999999	hsa-miR-1976	1.72643047190907
hsa_circ_0009654	-0.914123313533333	hsa-miR-99a-3p	-2.04511955381406
hsa_circ_0009654	-0.914123313533333	hsa-miR-486-3p	1.9831080221936
hsa_circ_0014306	0.946398193599999	hsa-miR-939-5p	2.10701997701662
hsa_circ_0015270	-0.981587320066667	hsa-miR-10b-5p	2.81219964436187
hsa_circ_0015270	-0.981587320066667	hsa-miR-125b-5p	-3.33417733203018
hsa_circ_0015270	-0.981587320066667	hsa-miR-361-3p	-1.5439614259172
hsa_circ_0015928	0.653677998200001	hsa-miR-23b-3p	-1.02880798185747
hsa_circ_0016121	1.06628427873333	hsa-miR-518c-5p	1.60200363821778
hsa_circ_0016121	1.06628427873333	hsa-miR-384	1.70370966199087
hsa_circ_0016121	1.06628427873333	hsa-miR-939-5p	2.10701997701662
hsa_circ_0016121	1.06628427873333	hsa-miR-367-5p	1.29653612938548
hsa_circ_0016760	1.39907910166667	hsa-let-7c-5p	-4.12964098042423
hsa_circ_0016760	1.39907910166667	hsa-miR-193a-5p	-1.08116083098548
hsa_circ_0016760	1.39907910166667	hsa-miR-1976	1.72643047190907
hsa_circ_0017037	-0.569529060366668	hsa-miR-30c-5p	-1.18138818797783
hsa_circ_0017037	-0.569529060366668	hsa-miR-30a-3p	-2.05747668915641
hsa_circ_0017037	-0.569529060366668	hsa-miR-29a-3p	-0.822880449721378
hsa_circ_0017037	-0.569529060366668	hsa-miR-367-5p	1.29653612938548
hsa_circ_0017037	-0.569529060366668	hsa-miR-30e-3p	-3.59328847644226
hsa_circ_0017077	-1.99070089656667	hsa-miR-30c-5p	-1.18138818797783
hsa_circ_0017077	-1.99070089656667	hsa-miR-140-3p	-1.74807329928064
hsa_circ_0017628	0.999339728766667	hsa-miR-1976	1.72643047190907
hsa_circ_0017628	0.999339728766667	hsa-miR-107	-1.99125363163233
hsa_circ_0017726	0.840721628233334	hsa-miR-518c-5p	1.60200363821778
hsa_circ_0017726	0.840721628233334	hsa-miR-107	-1.99125363163233
hsa_circ_0017726	0.840721628233334	hsa-miR-140-3p	-1.74807329928064
hsa_circ_0017726	0.840721628233334	hsa-miR-3074-3p	2.01517762975273
hsa_circ_0018242	-0.586538136833333	hsa-miR-193b-3p	-2.0120628061498
hsa_circ_0018905	-1.09186738633333	hsa-let-7b-3p	-0.933330296417625
hsa_circ_0018905	-1.09186738633333	hsa-miR-222-3p	-2.44802497528516
hsa_circ_0018905	-1.09186738633333	hsa-miR-30a-3p	-2.05747668915641
hsa_circ_0018905	-1.09186738633333	hsa-miR-27b-3p	-1.17329792567971
hsa_circ_0018905	-1.09186738633333	hsa-miR-324-3p	-0.912091567093122
hsa_circ_0018905	-1.09186738633333	hsa-miR-221-3p	-2.82184684009392
hsa_circ_0020704	1.062770575	hsa-let-7e-5p	-2.32886989422945
hsa_circ_0020704	1.062770575	hsa-miR-486-3p	1.9831080221936
hsa_circ_0020845	0.591638011666667	hsa-miR-335-5p	1.09850437185731
hsa_circ_0022383	-3.30063842783333	hsa-let-7c-5p	-4.12964098042423
hsa_circ_0022383	-3.30063842783333	hsa-let-7e-5p	-2.32886989422945
hsa_circ_0022383	-3.30063842783333	hsa-miR-107	-1.99125363163233
hsa_circ_0023115	1.78528164923333	hsa-miR-939-5p	2.10701997701662
hsa_circ_0023115	1.78528164923333	hsa-miR-1976	1.72643047190907
hsa_circ_0023115	1.78528164923333	hsa-miR-107	-1.99125363163233
hsa_circ_0026134	2.138873252	hsa-miR-671-5p	0.981545332257005
hsa_circ_0026134	2.138873252	hsa-miR-107	-1.99125363163233
hsa_circ_0026134	2.138873252	hsa-miR-92b-5p	2.59087560756811
hsa_circ_0026134	2.138873252	hsa-miR-505-3p	-1.09753791214932
hsa_circ_0026462	1.8194090634	hsa-miR-361-3p	-1.5439614259172
hsa_circ_0027774	0.839684676166665	hsa-miR-193a-5p	-1.08116083098548
hsa_circ_0029033	1.49177854586667	hsa-miR-939-5p	2.10701997701662
hsa_circ_0029325	0.728064023000003	hsa-miR-140-3p	-1.74807329928064
hsa_circ_0029325	0.728064023000003	hsa-miR-505-3p	-1.09753791214932
hsa_circ_0030509	-1.31294300963333	hsa-miR-580-3p	1.55472370270128
hsa_circ_0030509	-1.31294300963333	hsa-miR-3074-3p	2.01517762975273
hsa_circ_0030509	-1.31294300963333	hsa-miR-222-3p	-2.44802497528516
hsa_circ_0031132	1.345043857	hsa-miR-125b-2-3p	-2.88700808420298
hsa_circ_0031132	1.345043857	hsa-miR-222-3p	-2.44802497528516
hsa_circ_0031132	1.345043857	hsa-miR-221-3p	-2.82184684009392
hsa_circ_0033144	1.7809023946	hsa-miR-32-5p	1.07448811787357
hsa_circ_0034642	-2.73898073326666	hsa-miR-486-3p	1.9831080221936
hsa_circ_0034642	-2.73898073326666	hsa-miR-27b-3p	-1.17329792567971
hsa_circ_0034642	-2.73898073326666	hsa-let-7e-5p	-2.32886989422945
hsa_circ_0034642	-2.73898073326666	hsa-miR-125b-5p	-3.33417733203018
hsa_circ_0034642	-2.73898073326666	hsa-miR-1976	1.72643047190907
hsa_circ_0034642	-2.73898073326666	hsa-miR-365a-3p	-1.84935218646227
hsa_circ_0034642	-2.73898073326666	hsa-miR-29a-3p	-0.822880449721378
hsa_circ_0035301	0.872947703399999	hsa-miR-580-3p	1.55472370270128
hsa_circ_0035301	0.872947703399999	hsa-miR-107	-1.99125363163233
hsa_circ_0035301	0.872947703399999	hsa-miR-30a-3p	-2.05747668915641
hsa_circ_0035301	0.872947703399999	hsa-miR-125b-2-3p	-2.88700808420298
hsa_circ_0035301	0.872947703399999	hsa-let-7c-5p	-4.12964098042423
hsa_circ_0035301	0.872947703399999	hsa-miR-671-5p	0.981545332257005
hsa_circ_0035301	0.872947703399999	hsa-miR-30c-5p	-1.18138818797783
hsa_circ_0035301	0.872947703399999	hsa-miR-27b-3p	-1.17329792567971
hsa_circ_0035301	0.872947703399999	hsa-miR-361-3p	-1.5439614259172
hsa_circ_0035301	0.872947703399999	hsa-miR-324-3p	-0.912091567093122
hsa_circ_0035301	0.872947703399999	hsa-miR-486-3p	1.9831080221936
hsa_circ_0036188	1.12701992093333	hsa-miR-30a-3p	-2.05747668915641
hsa_circ_0036188	1.12701992093333	hsa-miR-939-5p	2.10701997701662
hsa_circ_0036188	1.12701992093333	hsa-miR-30e-3p	-3.59328847644226
hsa_circ_0036188	1.12701992093333	hsa-miR-125b-5p	-3.33417733203018
hsa_circ_0036766	1.03184858	hsa-miR-1976	1.72643047190907
hsa_circ_0036766	1.03184858	hsa-miR-193a-5p	-1.08116083098548
hsa_circ_0036766	1.03184858	hsa-miR-671-5p	0.981545332257005
hsa_circ_0037511	-0.693751860333333	hsa-miR-23b-3p	-1.02880798185747
hsa_circ_0037511	-0.693751860333333	hsa-miR-32-5p	1.07448811787357
hsa_circ_0037511	-0.693751860333333	hsa-miR-580-3p	1.55472370270128
hsa_circ_0038095	0.703351020000001	hsa-let-7b-3p	-0.933330296417625
hsa_circ_0038095	0.703351020000001	hsa-miR-671-5p	0.981545332257005
hsa_circ_0038095	0.703351020000001	hsa-miR-580-3p	1.55472370270128
hsa_circ_0038095	0.703351020000001	hsa-miR-107	-1.99125363163233
hsa_circ_0039930	0.902830901166666	hsa-miR-361-3p	-1.5439614259172
hsa_circ_0039930	0.902830901166666	hsa-miR-30e-3p	-3.59328847644226
hsa_circ_0039930	0.902830901166666	hsa-miR-30a-3p	-2.05747668915641
hsa_circ_0039930	0.902830901166666	hsa-miR-324-3p	-0.912091567093122
hsa_circ_0039930	0.902830901166666	hsa-miR-23b-3p	-1.02880798185747
hsa_circ_0041252	-1.1363398235	hsa-miR-193b-3p	-2.0120628061498
hsa_circ_0041252	-1.1363398235	hsa-miR-324-3p	-0.912091567093122
hsa_circ_0041252	-1.1363398235	hsa-miR-30c-5p	-1.18138818797783
hsa_circ_0043001	1.1169414666	hsa-miR-324-3p	-0.912091567093122
hsa_circ_0043001	1.1169414666	hsa-miR-939-5p	2.10701997701662
hsa_circ_0045890	0.502421283966666	hsa-miR-1976	1.72643047190907
hsa_circ_0045890	0.502421283966666	hsa-miR-107	-1.99125363163233
hsa_circ_0047641	1.4399264756	hsa-miR-324-3p	-0.912091567093122
hsa_circ_0048764	0.995737416000001	hsa-miR-1224-5p	2.48334119999158
hsa_circ_0049851	0.985068426599999	hsa-miR-1224-5p	2.48334119999158
hsa_circ_0049851	0.985068426599999	hsa-miR-367-5p	1.29653612938548
hsa_circ_0049851	0.985068426599999	hsa-miR-99a-3p	-2.04511955381406
hsa_circ_0049851	0.985068426599999	hsa-miR-486-3p	1.9831080221936
hsa_circ_0051718	0.533149698833337	hsa-let-7e-5p	-2.32886989422945
hsa_circ_0051718	0.533149698833337	hsa-let-7c-5p	-4.12964098042423
hsa_circ_0052767	0.992482298766667	hsa-miR-324-3p	-0.912091567093122
hsa_circ_0052767	0.992482298766667	hsa-miR-384	1.70370966199087
hsa_circ_0052767	0.992482298766667	hsa-miR-518c-5p	1.60200363821778
