miR_ID	circbase_ID
hsa-miR-3941	hsa_circ_0008323
hsa-miR-4656	hsa_circ_0000129
hsa-miR-4656	hsa_circ_0036766
hsa-miR-4733-3p	hsa_circ_0076700
hsa-miR-4789-5p	hsa_circ_0008323
hsa-miR-4800-5p	hsa_circ_0041871
hsa-miR-544b	hsa_circ_0008323
hsa-miR-548au-5p	hsa_circ_0000567
hsa-miR-548bb-5p	hsa_circ_0000567
hsa-miR-548i	hsa_circ_0000567
hsa-miR-6081	hsa_circ_0034642
hsa-miR-6515-5p	hsa_circ_0036188
hsa-miR-6728-5p	hsa_circ_0086684
hsa-miR-6755-3p	hsa_circ_0076700
hsa-miR-6780b-5p	hsa_circ_0001238
hsa-miR-6780b-5p	hsa_circ_0008806
hsa-miR-6856-5p	hsa_circ_0089153
hsa-miR-6875-3p	hsa_circ_0061346
hsa-miR-7157-3p	hsa_circ_0036766
hsa-miR-1913	hsa_circ_0034642
hsa-miR-214-5p	hsa_circ_0041871
hsa-miR-374c-3p	hsa_circ_0008323
hsa-miR-4650-5p	hsa_circ_0016760
hsa-miR-4691-5p	hsa_circ_0014306
hsa-miR-4695-5p	hsa_circ_0008323
hsa-miR-4726-5p	hsa_circ_0063089
hsa-miR-485-5p	hsa_circ_0086684
hsa-miR-5189-5p	hsa_circ_0086684
hsa-miR-544b	hsa_circ_0009006
hsa-miR-630	hsa_circ_0062603
hsa-miR-650	hsa_circ_0004650
hsa-miR-6510-5p	hsa_circ_0074559
hsa-miR-6511a-5p	hsa_circ_0013058
hsa-miR-6740-3p	hsa_circ_0063089
hsa-miR-6781-3p	hsa_circ_0002807
hsa-miR-6813-5p	hsa_circ_0075320
hsa-miR-6837-5p	hsa_circ_0002225
hsa-miR-6854-5p	hsa_circ_0000129
hsa-miR-1202	hsa_circ_0063526
hsa-miR-1267	hsa_circ_0089153
hsa-miR-153-5p	hsa_circ_0004650
hsa-miR-16-5p	hsa_circ_0008584
hsa-miR-18a-5p	hsa_circ_0006784
