source	target
hsa-miR-106a-5p	LZIC
hsa-miR-106a-5p	ZNF532
hsa-miR-106a-5p	NFIC
hsa-miR-106a-5p	MINK1
hsa-miR-106a-5p	ASF1A
hsa-miR-106a-5p	BHLHE40
hsa-miR-106a-5p	FBXL3
hsa-miR-106a-5p	ZFP28
hsa-miR-106a-5p	SLC2A4
hsa-miR-106a-5p	PDCD4
hsa-miR-106a-5p	LAMA3
hsa-miR-106a-5p	ZNF665
hsa-miR-106a-5p	CRYBG3
hsa-miR-106a-5p	ETS1
hsa-miR-106a-5p	DSC3
hsa-miR-106a-5p	OPA1
hsa-miR-106a-5p	FBXL5
hsa-miR-106a-5p	BTN3A2
hsa-miR-106a-5p	ACOT9
hsa-miR-106a-5p	PTGFRN
hsa-miR-106a-5p	CCNT2
hsa-miR-106a-5p	MRPL10
hsa_circ_0058097	hsa-miR-10b-5p
hsa-miR-10b-5p	PDCD4
hsa-miR-10b-5p	TMEM109
hsa-miR-10b-5p	VDR
hsa-miR-10b-5p	DLG5
hsa-miR-10b-5p	ITSN1
hsa-miR-10b-5p	ZC2HC1C
hsa-miR-10b-5p	PPP3CB
hsa_circ_0074559	hsa-miR-10b-5p
hsa_circ_0015270	hsa-miR-10b-5p
hsa_circ_0074598	hsa-miR-1224-5p
hsa-miR-1224-5p	FADS1
hsa-miR-1224-5p	ITSN1
hsa-miR-1224-5p	DLG5
hsa-miR-1224-5p	ARHGEF19
hsa-miR-1224-5p	ASCC3
hsa-miR-1224-5p	ZNF728
hsa-miR-1224-5p	SLC39A14
hsa-miR-1224-5p	IPO11
hsa-miR-1224-5p	FAM217B
hsa-miR-1224-5p	CCNT2
hsa-miR-1224-5p	PHLDA3
hsa-miR-1224-5p	SRRD
hsa-miR-1224-5p	WASF2
hsa_circ_0002807	hsa-miR-1224-5p
hsa_circ_0004870	hsa-miR-1224-5p
hsa_circ_0000714	hsa-miR-1224-5p
hsa_circ_0001660	hsa-miR-1976
hsa-miR-1976	PHLDA3
hsa-miR-1976	FADS1
hsa-miR-1976	TCEANC2
hsa-miR-1976	AKIRIN1
hsa-miR-1976	ZNF578
hsa-miR-1976	PDCD4
hsa-miR-1976	JAG2
hsa-miR-1976	MICAL3
hsa-miR-1976	KAZN
hsa-miR-1976	DFFA
hsa-miR-1976	NAV3
hsa_circ_0089761	hsa-miR-1976
hsa_circ_0006004	hsa-miR-1976
hsa_circ_0063089	hsa-miR-1976
hsa_circ_0007312	hsa-miR-1976
hsa_circ_0085918	hsa-miR-1976
hsa_circ_0000525	hsa-miR-1976
hsa_circ_0034642	hsa-miR-1976
hsa_circ_0003099	hsa-miR-1976
hsa_circ_0058097	hsa-miR-1976
hsa_circ_0004870	hsa-miR-1976
hsa_circ_0062603	hsa-miR-1976
hsa_circ_0001258	hsa-miR-1976
hsa_circ_0008122	hsa-miR-3074-3p
hsa-miR-3074-3p	LIPA
hsa-miR-3074-3p	CYB5R4
hsa-miR-3074-3p	FAM217B
hsa-miR-3074-3p	NFIC
hsa-miR-3074-3p	STX7
hsa-miR-3074-3p	ARSB
hsa-miR-3074-3p	EHF
hsa-miR-3074-3p	TMED7
hsa_circ_0030509	hsa-miR-3074-3p
hsa_circ_0078607	hsa-miR-32-5p
hsa-miR-32-5p	MCFD2
hsa-miR-32-5p	NAV3
hsa-miR-32-5p	LZIC
hsa-miR-32-5p	DSC3
hsa-miR-32-5p	NFIC
hsa-miR-32-5p	CDCA7L
hsa-miR-32-5p	ZNF532
hsa-miR-32-5p	SLC39A14
hsa-miR-32-5p	UQCRC2
hsa-miR-32-5p	GPAM
hsa-miR-32-5p	ATP1B3
hsa-miR-32-5p	PGAM1
hsa-miR-32-5p	SLC16A13
hsa-miR-32-5p	HBS1L
hsa-miR-32-5p	EIF5
hsa-miR-32-5p	ZNF287
hsa-miR-32-5p	ZDHHC5
hsa_circ_0001646	hsa-miR-32-5p
hsa_circ_0037511	hsa-miR-32-5p
hsa_circ_0001348	hsa-miR-335-5p
hsa-miR-335-5p	LIPA
hsa-miR-335-5p	BHLHE40
hsa-miR-335-5p	MOCOS
hsa-miR-335-5p	CYP2E1
hsa-miR-335-5p	DAGLA
hsa-miR-335-5p	CDCP1
hsa-miR-335-5p	ZFP28
hsa-miR-335-5p	LONRF1
hsa-miR-335-5p	MAP3K8
hsa-miR-335-5p	CRISPLD2
hsa-miR-335-5p	IFT81
hsa-miR-335-5p	MICAL3
hsa-miR-335-5p	RNF214
hsa-miR-335-5p	PKHD1L1
hsa-miR-335-5p	EHF
hsa-miR-335-5p	SIAH2
hsa-miR-335-5p	PEX12
hsa-miR-335-5p	SLC2A4
hsa-miR-335-5p	PPARGC1A
hsa-miR-335-5p	PEG3
hsa-miR-335-5p	JAG2
hsa-miR-335-5p	FADS2
hsa-miR-335-5p	FADS1
hsa-miR-335-5p	ZNF532
hsa-miR-335-5p	PDCD4
hsa-miR-335-5p	CCNT2
hsa_circ_0000500	hsa-miR-335-5p
hsa_circ_0074559	hsa-miR-335-5p
hsa_circ_0008817	hsa-miR-335-5p
hsa_circ_0088485	hsa-miR-335-5p
hsa_circ_0060539	hsa-miR-335-5p
hsa_circ_0017037	hsa-miR-367-5p
hsa-miR-367-5p	SEC23A
hsa-miR-367-5p	NSRP1
hsa-miR-367-5p	FAM83F
hsa-miR-367-5p	DFFA
hsa-miR-367-5p	CCNT2
hsa-miR-367-5p	TCEANC2
hsa_circ_0001646	hsa-miR-367-5p
hsa_circ_0001818	hsa-miR-367-5p
hsa_circ_0089761	hsa-miR-384
hsa-miR-384	SETD3
hsa-miR-384	CCNT2
hsa-miR-384	IPO11
hsa-miR-384	MRPL10
hsa-miR-384	RNF214
hsa-miR-384	ZIK1
hsa-miR-384	ZNF879
hsa_circ_0007245	hsa-miR-384
hsa_circ_0034642	hsa-miR-486-3p
hsa-miR-486-3p	BHLHE40
hsa-miR-486-3p	NFIC
hsa-miR-486-3p	PGAM1
hsa-miR-486-3p	DAGLA
hsa-miR-486-3p	HS6ST1
hsa-miR-486-3p	LDB1
hsa-miR-486-3p	WASF2
hsa-miR-486-3p	PTGFRN
hsa-miR-486-3p	CREG1
hsa-miR-486-3p	TMEM164
hsa_circ_0009654	hsa-miR-486-3p
hsa_circ_0000324	hsa-miR-486-3p
