MIMAT0011156	hsa-miR-2114;hsa-miR-2114-5p;
MIMAT0011159	hsa-miR-2115*;hsa-miR-2115-3p;
MIMAT0011158	hsa-miR-2115;hsa-miR-2115-5p;
MIMAT0011161	hsa-miR-2116*;hsa-miR-2116-3p;
MIMAT0011160	hsa-miR-2116;hsa-miR-2116-5p;
MIMAT0000268	hsa-miR-211;hsa-miR-211-5p;
MIMAT0000269	hsa-miR-212;hsa-miR-212-3p;
MI0000289	hsa-mir-213;hsa-mir-181a-1;
MIMAT0000270	hsa-miR-213;hsa-miR-181a*;hsa-miR-181a-3p;
MIMAT0000271	hsa-miR-214;hsa-miR-214-3p;
MIMAT0004564	hsa-miR-214*;hsa-miR-214-5p;
MIMAT0000272	hsa-miR-215;hsa-miR-215-5p;
MIMAT0004959	hsa-miR-216b;hsa-miR-216b-5p;
MI0000292	hsa-mir-216;hsa-mir-216a;
MIMAT0000273	hsa-miR-216;hsa-miR-216a;hsa-miR-216a-5p;
MIMAT0000274	hsa-miR-217;hsa-miR-217-5p;
MIMAT0004565	hsa-miR-218-1*;hsa-miR-218-1-3p;
MIMAT0004566	hsa-miR-218-2*;hsa-miR-218-2-3p;
MIMAT0000275	hsa-miR-218;hsa-miR-218-5p;
MIMAT0004567	hsa-miR-219-1-3p;hsa-miR-219a-1-3p;
MIMAT0004675	hsa-miR-219-2-3p;hsa-miR-219a-2-3p;
MI0000740	hsa-mir-219-2;hsa-mir-219a-2;
MI0000296	hsa-mir-219;hsa-mir-219-1;hsa-mir-219a-1;
MIMAT0000276	hsa-miR-219;hsa-miR-219-5p;hsa-miR-219a-5p;
MIMAT0004494	hsa-miR-21*;hsa-miR-21-3p;
MIMAT0000076	hsa-miR-21;hsa-miR-21-5p;
MI0000297	hsa-mir-220;hsa-mir-220a;
MIMAT0000277	hsa-miR-220;hsa-miR-220a;
MIMAT0000278	hsa-miR-221;hsa-miR-221-3p;
MIMAT0004568	hsa-miR-221*;hsa-miR-221-5p;
MIMAT0000279	hsa-miR-222;hsa-miR-222-3p;
MIMAT0004569	hsa-miR-222*;hsa-miR-222-5p;
MIMAT0000280	hsa-miR-223;hsa-miR-223-3p;
MIMAT0004570	hsa-miR-223*;hsa-miR-223-5p;
MIMAT0009198	hsa-miR-224*;hsa-miR-224-3p;
MIMAT0000281	hsa-miR-224;hsa-miR-224-5p;
MIMAT0011775	hsa-miR-2276;hsa-miR-2276-3p;
MIMAT0011777	hsa-miR-2277;hsa-miR-2277-3p;
MIMAT0000077	hsa-miR-22;hsa-miR-22-3p;
MIMAT0004495	hsa-miR-22*;hsa-miR-22-5p;
MIMAT0016895	hsa-miR-2355;hsa-miR-2355-5p;
MIMAT0000078	hsa-miR-23a;hsa-miR-23a-3p;
MIMAT0004496	hsa-miR-23a*;hsa-miR-23a-5p;
MIMAT0000418	hsa-miR-23b;hsa-miR-23b-3p;
MIMAT0004587	hsa-miR-23b*;hsa-miR-23b-5p;
MI0000079	hsa-mir-23;hsa-mir-23a;
MIMAT0004497	hsa-miR-24-2*;hsa-miR-24-2-5p;
MIMAT0000080	hsa-miR-24;hsa-miR-24-3p;
MIMAT0000081	hsa-miR-25;hsa-miR-25-3p;
MIMAT0004498	hsa-miR-25*;hsa-miR-25-5p;
MIMAT0013516	hsa-miR-2681;hsa-miR-2681-3p;
MIMAT0013515	hsa-miR-2681*;hsa-miR-2681-5p;
MIMAT0013518	hsa-miR-2682*;hsa-miR-2682-3p;
MIMAT0013517	hsa-miR-2682;hsa-miR-2682-5p;
MIMAT0004499	hsa-miR-26a-1*;hsa-miR-26a-1-3p;
MIMAT0004681	hsa-miR-26a-2*;hsa-miR-26a-2-3p;
MI0000083	hsa-mir-26a;hsa-mir-26a-1;
MIMAT0000082	hsa-miR-26a;hsa-miR-26a-5p;
MIMAT0004500	hsa-miR-26b*;hsa-miR-26b-3p;
MIMAT0000083	hsa-miR-26b;hsa-miR-26b-5p;
MIMAT0000084	hsa-miR-27a;hsa-miR-27a-3p;
MIMAT0004501	hsa-miR-27a*;hsa-miR-27a-5p;
MIMAT0000419	hsa-miR-27b;hsa-miR-27b-3p;
MIMAT0004588	hsa-miR-27b*;hsa-miR-27b-5p;
MI0000085	hsa-mir-27;hsa-mir-27a;
MIMAT0000085	hsa-miR-28;hsa-miR-28-5p;
MIMAT0019748	hsa-miR-2964a-3p;hsa-miR-219b-3p;
MIMAT0019747	hsa-miR-2964a-5p;hsa-miR-219b-5p;
MI0017299	hsa-mir-2964a;hsa-mir-219b;
MIMAT0000690	hsa-miR-296;hsa-miR-296-5p;
MIMAT0000687	hsa-miR-299;hsa-miR-299-5p;hsa-miR-299-3p;
MIMAT0000086	hsa-miR-29a;hsa-miR-29a-3p;
MIMAT0004503	hsa-miR-29a*;hsa-miR-29a-5p;
MIMAT0004514	hsa-miR-29b-1*;hsa-miR-29b-1-5p;
MIMAT0004515	hsa-miR-29b-2*;hsa-miR-29b-2-5p;
MIMAT0000100	hsa-miR-29b;hsa-miR-29b-3p;
MIMAT0000681	hsa-miR-29c;hsa-miR-29c-3p;
MIMAT0004673	hsa-miR-29c*;hsa-miR-29c-5p;
MI0000087	hsa-mir-29;hsa-mir-29a;
MIMAT0004958	hsa-miR-301b;hsa-miR-301b-3p;
MI0000745	hsa-mir-301;hsa-mir-301a;
MIMAT0000688	hsa-miR-301;hsa-miR-301a;hsa-miR-301a-3p;
MIMAT0000684	hsa-miR-302a;hsa-miR-302a-3p;
MIMAT0000683	hsa-miR-302a*;hsa-miR-302a-5p;
MIMAT0000715	hsa-miR-302b;hsa-miR-302b-3p;
MIMAT0000714	hsa-miR-302b*;hsa-miR-302b-5p;
MIMAT0000717	hsa-miR-302c;hsa-miR-302c-3p;
MIMAT0000716	hsa-miR-302c*;hsa-miR-302c-5p;
MIMAT0000718	hsa-miR-302d;hsa-miR-302d-3p;
MIMAT0004685	hsa-miR-302d*;hsa-miR-302d-5p;
MI0000738	hsa-mir-302;hsa-mir-302a;
MIMAT0015027	hsa-miR-3074;hsa-miR-3074-3p;
MIMAT0000088	hsa-miR-30a-3p;hsa-miR-30a*;hsa-miR-30a-3p;
MIMAT0000087	hsa-miR-30a-5p;hsa-miR-30a;hsa-miR-30a-5p;
MIMAT0004589	hsa-miR-30b*;hsa-miR-30b-3p;
MIMAT0000420	hsa-miR-30b;hsa-miR-30b-5p;
MIMAT0004674	hsa-miR-30c-1*;hsa-miR-30c-1-3p;
MIMAT0004550	hsa-miR-30c-2*;hsa-miR-30c-2-3p;
MI0000254	hsa-mir-30c;hsa-mir-30c-2;
MIMAT0000244	hsa-miR-30c;hsa-miR-30c-5p;
MIMAT0004551	hsa-miR-30d*;hsa-miR-30d-3p;
MIMAT0000245	hsa-miR-30d;hsa-miR-30d-5p;
MIMAT0000693	hsa-miR-30e-3p;hsa-miR-30e*;hsa-miR-30e-3p;
MIMAT0000692	hsa-miR-30e-5p;hsa-miR-30e;hsa-miR-30e-5p;
MI0000088	hsa-mir-30;hsa-mir-30a;
MIMAT0014979	hsa-miR-3117;hsa-miR-3117-3p;
MIMAT0014982	hsa-miR-3120;hsa-miR-3120-3p;
MIMAT0014983	hsa-miR-3121;hsa-miR-3121-3p;
MIMAT0014986	hsa-miR-3124;hsa-miR-3124-5p;
MIMAT0014990	hsa-miR-3127;hsa-miR-3127-5p;
MIMAT0014992	hsa-miR-3129;hsa-miR-3129-5p;
MI0014156	hsa-mir-3135;hsa-mir-3135a;
MIMAT0015001	hsa-miR-3135;hsa-miR-3135a;
MIMAT0015003	hsa-miR-3136;hsa-miR-3136-5p;
MIMAT0015008	hsa-miR-3140;hsa-miR-3140-3p;
MIMAT0015016	hsa-miR-3145;hsa-miR-3145-3p;
