ID	Stromal_score	Immune_score	ESTIMATE_score
TCGA-V1-A9ZR-01	162.61	35.87	198.48
TCGA-VN-A88I-01	562.69	-340.93	221.76
TCGA-VN-A88K-01	-369.68	-928.97	-1298.65
TCGA-VN-A88L-01	-452.94	-1134.72	-1587.66
TCGA-VN-A88M-01	-1338.14	-1268.14	-2606.28
TCGA-VN-A88N-01	-1243.68	-1200.74	-2444.43
TCGA-VN-A88O-01	-1023.66	-724.78	-1748.44
TCGA-VN-A88P-01	-378.73	-815.39	-1194.12
TCGA-VN-A88Q-01	-1312.75	-1118.56	-2431.31
TCGA-VN-A88R-01	-501.81	-808.08	-1309.89
TCGA-VN-A943-01	-1983.92	-1657.55	-3641.47
TCGA-VP-A872-01	-269.07	-160.87	-429.93
TCGA-VP-A875-01	-1379.93	-1535.04	-2914.97
TCGA-VP-A876-01	-1443.71	-1373.44	-2817.15
TCGA-VP-A878-01	-263.02	-560.44	-823.46
TCGA-VP-A879-01	-691.09	-1297.96	-1989.06
TCGA-VP-A87B-01	-736.07	-1001.44	-1737.51
TCGA-VP-A87C-01	388.75	1465.59	1854.34
TCGA-VP-A87D-01	-1218.34	-1410.67	-2629.01
TCGA-VP-A87E-01	-104.38	161.81	57.43
TCGA-VP-A87H-01	-864.95	-996.93	-1861.87
TCGA-VP-A87J-01	-1003.26	-1150.8	-2154.06
TCGA-VP-A87K-01	-1376.7	-1112.84	-2489.54
TCGA-VP-AA1N-01	-377.72	-394.79	-772.51
TCGA-WW-A8ZI-01	-1011.19	-850.76	-1861.95
TCGA-X4-A8KQ-01	-249.06	-544.12	-793.17
TCGA-X4-A8KS-01	-886.97	-614.9	-1501.86
TCGA-XA-A8JR-01	-704.52	-900	-1604.51
TCGA-XJ-A83F-01	-859.37	-1210.43	-2069.8
TCGA-XJ-A83G-01	-1301.96	-1154.26	-2456.22
TCGA-XJ-A83H-01	-1205.13	-959.12	-2164.26
TCGA-XJ-A9DI-01	-177.43	210.55	33.12
TCGA-XJ-A9DK-01	-768.78	-802.53	-1571.31
TCGA-XJ-A9DQ-01	-922.54	-1121.4	-2043.94
TCGA-XJ-A9DX-01	-887.91	-948.77	-1836.68
TCGA-XK-AAIR-01	-572.44	-629.79	-1202.23
TCGA-XK-AAIV-01	92.59	864.02	956.61
TCGA-XK-AAIW-01	-1435.67	-487.98	-1923.65
TCGA-XK-AAJ3-01	-561.22	-1184.86	-1746.08
TCGA-XK-AAJA-01	-1233.27	-1110.4	-2343.66
TCGA-XK-AAJP-01	-862.53	-742.46	-1604.99
TCGA-XK-AAJR-01	-638.28	-1020.06	-1658.34
TCGA-XK-AAJT-01	-212.13	-541.21	-753.35
TCGA-XK-AAJU-01	-999.27	-745.26	-1744.53
