Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
CLDN1	-0.916059678013512	5.18108380425538	-4.65241536513432	4.10632795456083e-06	1.13018369482398e-05	2.99357541237468
PYGO2	0.10443860384035	6.80215094083703	2.41945568023101	0.0158640826049801	0.0246275390345108	-4.717715504319
HIPK1	-0.318496781167119	6.67806208567492	-4.12011486362718	4.36441713673561e-05	0.000102244444962488	0.732866331843278
DCST2	0.965908249446307	1.48055249958036	5.68621117374755	2.10175240371584e-08	7.95478298792326e-08	8.71834938789202
DCST1	0.917596852682436	-0.838626399795769	5.45396802204668	7.42644136793565e-08	2.61340920365474e-07	7.63616633000831
INAVA	-2.02872708999102	2.07152687957507	-12.2310003159407	1.26014649703009e-30	7.41895480857221e-29	58.7041593459078
EOGT	-0.881790950821339	5.04836089448725	-11.2826545695156	1.00899799509563e-26	3.59086300979249e-25	49.6444251638055
LMOD3	-0.468382822043082	-0.0323047660754761	-2.58226520429883	0.0100704113667149	0.0161986782078508	-3.52453860347738
POGLUT1	-0.307005268160276	4.4835651912211	-5.26416928473354	2.0160022522106e-07	6.66643567267487e-07	5.98000049162388
IGFN1	1.47548494132509	0.0257030356882352	4.68815581437243	3.47340972553339e-06	9.67260707872511e-06	3.9640465209098
ATP1A1	-0.584309126010917	7.9210432207908	-3.8229238479246	0.000146808512670734	0.000318184451645415	-0.346832495332206
SLC15A2	-0.976588648903174	6.321068072738	-4.93512044328392	1.06061333062758e-06	3.18158086328987e-06	4.29534744701561
EIF4E3	-0.617332554413662	5.37582267655085	-8.68193194308765	4.3398133264556e-17	4.87504373487849e-16	27.6970976929646
PROK2	-0.80861704095917	-4.42525591312967	-3.76529395596265	0.000184095298742658	0.000392553330663834	0.40648221608409
TMEM183A	0.14129043856801	5.73911779224794	3.50311179352191	0.000496917024832726	0.000993834049665451	-1.54187180859709
TMEM169	-1.35450183344538	-1.02991545682408	-10.3482423774774	4.55496523309518e-23	1.05520496475364e-21	41.5888305522649
IGFBP7	-0.325839699351132	7.9824718832035	-2.68189094644739	0.00753868663973397	0.0123759853673825	-3.99078475130743
