Symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
GABARAPL1	-0.861786945306582	7.83618961684068	-5.00385874441386	0.00104829782409616	0.0169819999082811	-0.883673477960372
EPHB4	-3.53113400096204	3.94889753159904	-5.00544039898885	0.00104622997440106	0.0169819999082811	-0.88156700868594
PGK1	-1.18336256228331	9.62637931117779	-5.00466334656594	0.00104724533304698	0.0169819999082811	-0.882601851981635
ZNF613	-0.735354536953916	8.23426146749096	-5.0022810930148	0.00105036488560333	0.0169979402623083	-0.885774980779006
L3MBTL3	-1.10442541744914	5.04623511130728	-4.99568428840729	0.00105905644041943	0.0170870367566763	-0.894566171551002
CDS2	-0.635786933438335	6.31172170038221	-4.99631188843623	0.0010582261824554	0.0170870367566763	-0.893729529871732
WDR33	-0.430084343661051	8.69946429169599	-4.99125937123569	0.00106493042339384	0.017132544113313	-0.900466582205756
SLC30A1	0.622156749029701	6.96067800952042	4.99125959887512	0.00106493012029421	0.017132544113313	-0.900466278585928
CBX6	0.468943149902023	9.49535787192886	4.98564668405307	0.001072432361617	0.0172125076063093	-0.907954952990219
SPRR1A	0.501533785345088	5.63320333386586	4.98538387206243	0.00107278504793887	0.0172125076063093	-0.908305706287799
SPINT2	-0.466963635791751	11.7840661408212	-4.98500607064769	0.00107329226865285	0.0172125076063093	-0.908809944132993
MSI2	0.647820772267195	5.72397694573009	4.98362179920498	0.00107515297249578	0.0172250710192735	-0.910657659714184
FUT11	-1.35452627225712	5.56023366523846	-4.97998491358705	0.00108005838229776	0.0172600995624861	-0.915513486385806
LAMA5	-0.464083062697064	9.64169078592604	-4.97880331044291	0.00108165737454569	0.0172600995624861	-0.917091533575702
SEC61G	-0.415398749728881	12.2688093630393	-4.97920873443922	0.00108110844775478	0.0172600995624861	-0.916550061217873
LPCAT4	0.914007991620275	4.52562596124108	4.97179106703651	0.00109119993931731	0.0173270239816513	-0.926460690538304
DDHD2	-0.528824106868206	7.93548045466235	-4.96973357736366	0.00109401726445852	0.0173270239816513	-0.929211098726201
RDX	-0.526175388379507	8.80229641004671	-4.97303616782631	0.00108949886600057	0.0173270239816513	-0.924796567740239
BCAP29	-0.602808251073146	5.80608212614337	-4.97024583814671	0.00109331508329431	0.0173270239816513	-0.928526261466469
TSEN2	0.888024718968124	8.51356554622585	4.97397943879016	0.00108821208324353	0.0173270239816513	-0.923536002808064
ZCCHC8	0.619588545705857	7.03880609651069	4.97399173899324	0.00108819531462336	0.0173270239816513	-0.92351956596977
UGT2B11	-1.73112349088998	7.94361932482156	-4.96938136763878	0.00109450034122651	0.0173270239816513	-0.929681987343205
ARPC1B	-0.601824214600462	6.2892028547162	-4.9693664025186	0.0010945208719412	0.0173270239816513	-0.92970199544083
C6orf48	0.671066415043744	4.60964187917889	4.96534373613941	0.00110005485483907	0.0173630573287481	-0.935081418507694
LOC100132774	-0.829530739490581	4.40409897060542	-4.96633602438574	0.00109868693261327	0.0173630573287481	-0.93375423296306
LOC441714	0.664002647680276	4.91230949300222	4.96608431837753	0.00109903374697226	0.0173630573287481	-0.934090876092977
TMEM4	0.444981735264868	8.62681227926754	4.96448217426852	0.00110124407116421	0.0173646858519177	-0.936233874566096
TM2D2	-0.750048745279345	4.96134278799858	-4.96350728667952	0.00110259140328637	0.0173688019183703	-0.937538050366087
ATPBD1B	-0.525872050572788	7.9268852790503	-4.96146539951756	0.00110541920244707	0.0173791028789835	-0.94027007806482
CXADR	-0.759519336555748	8.80654056781548	-4.96170418139905	0.00110508810640415	0.0173791028789835	-0.939950558381552
NEK11	1.50193154146284	4.19949977636606	4.9588882859907	0.00110899953605765	0.0174182648153495	-0.943719106441396
CCNG2	0.544275737518549	7.98954400773415	4.95625902248736	0.00111266536412925	0.0174586913710133	-0.947238931896087
DUSP14	-0.832543415359747	8.17783393792364	-4.95420091616207	0.00111554408628367	0.0174695733551318	-0.949994849643307
TRAPPC2P1	-0.551472547356846	6.17431487063546	-4.95470706490736	0.00111483537132338	0.0174695733551318	-0.949317031020782
PFAAP5	-0.845807737793909	7.00116388982878	-4.94710960298203	0.00112552527729273	0.0176086337168625	-0.959495263824635
CTSZ	-0.750998805856359	8.00493328620227	-4.94461642281913	0.00112905760217378	0.0176466295221471	-0.962837192652062
FASTKD2	0.440410381969194	6.62616353657361	4.94345855097937	0.0011307021799579	0.0176550753470184	-0.964389546492725
CENPL	0.625485859687452	6.94839442471844	4.94171863063216	0.00113317838349941	0.0176764772427045	-0.966722619844025
BTG2	0.970125981524161	7.30969178869436	4.94072812129797	0.00113459068926096	0.0176812578270892	-0.968051000104732
TRIM8	-0.394266082175099	8.99692728944552	-4.93899645727541	0.00113706437645082	0.0176967254734164	-0.970373694569571
EIF2B4	0.428180951638691	9.48884569388872	4.9384844917981	0.00113779684699932	0.0176967254734164	-0.971060482054859
